,contested,democrat_name,democrat_percent,democrat_votes,democrat_winner,district,other_candidates,republican_name,republican_percent,republican_votes,republican_winner,state_name
111,True,A. Valdes,0.376,95008.0,False,25,[],M. Diaz-Balart (i),0.624,157748.0,True,Florida
112,True,J. Garcia,0.41200000000000003,115348.0,False,26,"[{'name': 'J. Peixoto', 'winner': False, 'votes': 16491, 'percent': 0.059000000000000004}]",C. Curbelo (i),0.53,148445.0,True,Florida
113,True,S. Fuhrman,0.451,129548.0,False,27,[],I. Ros-Lehtinen (i),0.549,157763.0,True,Florida
114,False,,,,False,1,[],B. Carter (i),,,True,Georgia
115,True,S. Bishop (i),0.61,146284.0,True,2,[],G. Duke,0.39,93392.0,False,Georgia
116,True,A. Pendley,0.316,95736.0,False,3,[],D. Ferguson,0.684,206930.0,True,Georgia
117,True,H. Johnson (i),0.756,214278.0,True,4,[],V. Armendariz,0.244,69075.0,False,Georgia
118,True,J. Lewis (i),0.846,241773.0,True,5,[],D. Bell,0.154,44032.0,False,Georgia
119,True,R. Stooksbury,0.384,119536.0,False,6,[],T. Price (i),0.616,191792.0,True,Georgia
120,True,R. Malik,0.395,113593.0,False,7,[],R. Woodall (i),0.605,173638.0,True,Georgia
121,True,J. Harris,0.323,81903.0,False,8,[],A. Scott (i),0.677,171529.0,True,Georgia
122,False,,,,False,9,[],D. Collins (i),,,True,Georgia
123,False,,,,False,10,[],J. Hice (i),,,True,Georgia
124,True,D. Wilson,0.325,104401.0,False,11,[],B. Loudermilk (i),0.675,216772.0,True,Georgia
125,True,T. McCracken,0.384,98870.0,False,12,[],R. Allen (i),0.616,158705.0,True,Georgia
126,False,D. Scott (i),,,True,13,[],,,,False,Georgia
127,False,,,,False,14,[],T. Graves (i),,,True,Georgia
128,True,B. Rush (i),0.734,221551.0,True,1,[],A. Deuser,0.266,80161.0,False,Illinois
129,True,R. Kelly (i),0.796,229184.0,True,2,[],J. Morrow,0.20400000000000001,58788.0,False,Illinois
130,False,D. Lipinski (i),,,True,3,[],,,,False,Illinois
131,False,L. Gutierrez (i),,,True,4,[],,,,False,Illinois
132,True,M. Quigley (i),0.676,201983.0,True,5,"[{'name': 'R. Sherman', 'winner': False, 'votes': 13867, 'percent': 0.046}]",V. Kolber,0.278,82931.0,False,Illinois
